id,section_id,student_id,status
enr_1,sec_0001,stu_1249,active
enr_2,sec_0001,stu_0233,active
enr_3,sec_0001,stu_0755,active
enr_4,sec_0001,stu_0632,active
enr_5,sec_0001,stu_0154,active
enr_6,sec_0001,stu_0174,active
enr_7,sec_0001,stu_0945,active
enr_8,sec_0001,stu_0383,active
enr_9,sec_0001,stu_0200,active
enr_10,sec_0001,stu_0760,active
enr_11,sec_0001,stu_1397,active
enr_12,sec_0001,stu_0754,active
enr_13,sec_0001,stu_1185,active
enr_14,sec_0001,stu_0171,active
enr_15,sec_0001,stu_1306,active
enr_16,sec_0001,stu_0817,active
enr_17,sec_0001,stu_0567,active
enr_18,sec_0001,stu_1202,active
enr_19,sec_0001,stu_1314,active
enr_20,sec_0001,stu_0688,active
enr_21,sec_0001,stu_1057,active
enr_22,sec_0001,stu_1385,active
enr_23,sec_0001,stu_1231,active
enr_24,sec_0001,stu_0188,active
enr_25,sec_0001,stu_1336,active
enr_26,sec_0001,stu_1107,active
enr_27,sec_0001,stu_1366,active
enr_28,sec_0001,stu_0408,active
enr_29,sec_0001,stu_0115,active
enr_30,sec_0001,stu_1036,active
enr_31,sec_0001,stu_0069,active
enr_32,sec_0001,stu_1383,active
enr_33,sec_0001,stu_0694,active
enr_34,sec_0001,stu_1146,active
enr_35,sec_0001,stu_1396,active
enr_36,sec_0002,stu_0729,active
enr_37,sec_0002,stu_1339,active
enr_38,sec_0002,stu_1004,active
enr_39,sec_0002,stu_0402,active
enr_40,sec_0002,stu_1269,active
enr_41,sec_0002,stu_1258,active
enr_42,sec_0002,stu_1294,active
enr_43,sec_0002,stu_1219,active
enr_44,sec_0002,stu_0864,active
enr_45,sec_0002,stu_1394,active
enr_46,sec_0002,stu_0789,active
enr_47,sec_0002,stu_1287,active
enr_48,sec_0002,stu_1115,active
enr_49,sec_0002,stu_0978,active
enr_50,sec_0002,stu_1097,active
enr_51,sec_0002,stu_1148,active
enr_52,sec_0002,stu_1370,active
enr_53,sec_0002,stu_1059,active
enr_54,sec_0002,stu_0913,active
enr_55,sec_0002,stu_0323,active
enr_56,sec_0002,stu_1221,active
enr_57,sec_0002,stu_0559,active
enr_58,sec_0002,stu_0130,active
enr_59,sec_0002,stu_1256,active
enr_60,sec_0002,stu_0423,active
enr_61,sec_0002,stu_0012,active
enr_62,sec_0002,stu_1012,active
enr_63,sec_0002,stu_1140,active
enr_64,sec_0002,stu_0174,active
enr_65,sec_0002,stu_0072,active
enr_66,sec_0003,stu_0163,active
enr_67,sec_0003,stu_0295,active
enr_68,sec_0003,stu_0400,active
enr_69,sec_0003,stu_1108,active
enr_70,sec_0003,stu_0495,active
enr_71,sec_0003,stu_1142,active
enr_72,sec_0003,stu_0707,active
enr_73,sec_0003,stu_0115,active
enr_74,sec_0003,stu_0036,active
enr_75,sec_0003,stu_1269,active
enr_76,sec_0003,stu_0478,active
enr_77,sec_0003,stu_0102,active
enr_78,sec_0003,stu_0743,active
enr_79,sec_0003,stu_0411,active
enr_80,sec_0003,stu_1247,active
enr_81,sec_0003,stu_0122,active
enr_82,sec_0003,stu_1265,active
enr_83,sec_0003,stu_0880,active
enr_84,sec_0003,stu_0234,active
enr_85,sec_0003,stu_0281,active
enr_86,sec_0003,stu_1399,active
enr_87,sec_0003,stu_0846,active
enr_88,sec_0003,stu_0940,active
enr_89,sec_0003,stu_0211,active
enr_90,sec_0003,stu_0006,active
enr_91,sec_0003,stu_1306,active
enr_92,sec_0003,stu_0796,active
enr_93,sec_0003,stu_1086,active
enr_94,sec_0003,stu_0580,active
enr_95,sec_0003,stu_1299,active
enr_96,sec_0003,stu_0355,active
enr_97,sec_0003,stu_1333,active
enr_98,sec_0003,stu_1227,active
enr_99,sec_0004,stu_0440,active
enr_100,sec_0004,stu_0302,active
enr_101,sec_0004,stu_0741,active
enr_102,sec_0004,stu_1149,active
enr_103,sec_0004,stu_0225,active
enr_104,sec_0004,stu_0746,active
enr_105,sec_0004,stu_1033,active
enr_106,sec_0004,stu_0595,active
enr_107,sec_0004,stu_1168,active
enr_108,sec_0004,stu_1289,active
enr_109,sec_0004,stu_0499,active
enr_110,sec_0004,stu_0383,active
enr_111,sec_0004,stu_1074,active
enr_112,sec_0004,stu_1214,active
enr_113,sec_0004,stu_1284,active
enr_114,sec_0004,stu_0217,active
enr_115,sec_0004,stu_0691,active
enr_116,sec_0004,stu_1057,active
enr_117,sec_0004,stu_0536,active
enr_118,sec_0004,stu_0809,active
enr_119,sec_0004,stu_0841,active
enr_120,sec_0004,stu_1047,active
enr_121,sec_0004,stu_0494,active
enr_122,sec_0004,stu_1101,active
enr_123,sec_0004,stu_0583,active
enr_124,sec_0004,stu_1169,active
enr_125,sec_0004,stu_1203,active
enr_126,sec_0004,stu_0014,active
enr_127,sec_0004,stu_0286,active
enr_128,sec_0004,stu_1381,active
enr_129,sec_0004,stu_0223,active
enr_130,sec_0004,stu_0028,active
enr_131,sec_0004,stu_1239,active
enr_132,sec_0004,stu_0887,active
enr_133,sec_0004,stu_0197,active
enr_134,sec_0004,stu_0457,active
enr_135,sec_0004,stu_0775,active
enr_136,sec_0004,stu_1282,active
enr_137,sec_0004,stu_0357,active
enr_138,sec_0005,stu_0406,active
enr_139,sec_0005,stu_0557,active
enr_140,sec_0005,stu_0138,active
enr_141,sec_0005,stu_0092,active
enr_142,sec_0005,stu_0072,active
enr_143,sec_0005,stu_0308,active
enr_144,sec_0005,stu_0070,active
enr_145,sec_0005,stu_0293,active
enr_146,sec_0005,stu_0908,active
enr_147,sec_0005,stu_1224,active
enr_148,sec_0005,stu_0824,active
enr_149,sec_0005,stu_0942,active
enr_150,sec_0005,stu_0100,active
enr_151,sec_0005,stu_0090,active
enr_152,sec_0005,stu_0277,active
enr_153,sec_0005,stu_0530,active
enr_154,sec_0005,stu_0963,active
enr_155,sec_0005,stu_0494,active
enr_156,sec_0005,stu_1379,active
enr_157,sec_0005,stu_0598,active
enr_158,sec_0005,stu_0099,active
enr_159,sec_0005,stu_0763,active
enr_160,sec_0005,stu_0577,active
enr_161,sec_0005,stu_1321,active
enr_162,sec_0005,stu_0675,active
enr_163,sec_0005,stu_0027,active
enr_164,sec_0005,stu_1088,active
enr_165,sec_0005,stu_0264,active
enr_166,sec_0005,stu_0370,active
enr_167,sec_0005,stu_0627,active
enr_168,sec_0005,stu_0477,active
enr_169,sec_0005,stu_0711,active
enr_170,sec_0005,stu_0930,active
enr_171,sec_0005,stu_0870,active
enr_172,sec_0006,stu_1335,active
enr_173,sec_0006,stu_1203,active
enr_174,sec_0006,stu_0448,active
enr_175,sec_0006,stu_0710,active
enr_176,sec_0006,stu_0905,active
enr_177,sec_0006,stu_0262,active
enr_178,sec_0006,stu_0624,active
enr_179,sec_0006,stu_0124,active
enr_180,sec_0006,stu_0313,active
enr_181,sec_0006,stu_1201,active
enr_182,sec_0006,stu_1198,active
enr_183,sec_0006,stu_0437,active
enr_184,sec_0006,stu_1299,active
enr_185,sec_0006,stu_0921,active
enr_186,sec_0006,stu_0857,active
enr_187,sec_0006,stu_0550,active
enr_188,sec_0006,stu_0263,active
enr_189,sec_0006,stu_0580,active
enr_190,sec_0006,stu_0831,active
enr_191,sec_0006,stu_0137,active
enr_192,sec_0006,stu_1055,active
enr_193,sec_0006,stu_0321,active
enr_194,sec_0006,stu_0944,active
enr_195,sec_0006,stu_0412,active
enr_196,sec_0007,stu_1066,active
enr_197,sec_0007,stu_1296,active
enr_198,sec_0007,stu_0383,active
enr_199,sec_0007,stu_0013,active
enr_200,sec_0007,stu_0076,active
enr_201,sec_0007,stu_0752,active
enr_202,sec_0007,stu_1366,active
enr_203,sec_0007,stu_0241,active
enr_204,sec_0007,stu_0973,active
enr_205,sec_0007,stu_0588,active
enr_206,sec_0007,stu_0713,active
enr_207,sec_0007,stu_0736,active
enr_208,sec_0007,stu_0424,active
enr_209,sec_0007,stu_0959,active
enr_210,sec_0007,stu_0870,active
enr_211,sec_0007,stu_0023,active
enr_212,sec_0007,stu_0875,active
enr_213,sec_0007,stu_0639,active
enr_214,sec_0007,stu_1375,active
enr_215,sec_0007,stu_0497,active
enr_216,sec_0007,stu_1044,active
enr_217,sec_0007,stu_1011,active
enr_218,sec_0007,stu_0631,active
enr_219,sec_0007,stu_0358,active
enr_220,sec_0007,stu_0258,active
enr_221,sec_0007,stu_0972,active
enr_222,sec_0007,stu_1205,active
enr_223,sec_0007,stu_1248,active
enr_224,sec_0007,stu_0319,active
enr_225,sec_0007,stu_1138,active
enr_226,sec_0007,stu_0949,active
enr_227,sec_0007,stu_0568,active
enr_228,sec_0007,stu_1010,active
enr_229,sec_0007,stu_1190,active
enr_230,sec_0007,stu_0858,active
enr_231,sec_0007,stu_0976,active
enr_232,sec_0007,stu_1288,active
enr_233,sec_0007,stu_0482,active
enr_234,sec_0008,stu_0635,active
enr_235,sec_0008,stu_1191,active
enr_236,sec_0008,stu_0411,active
enr_237,sec_0008,stu_0150,active
enr_238,sec_0008,stu_1164,active
enr_239,sec_0008,stu_0190,active
enr_240,sec_0008,stu_0268,active
enr_241,sec_0008,stu_0408,active
enr_242,sec_0008,stu_1300,active
enr_243,sec_0008,stu_1092,active
enr_244,sec_0008,stu_0016,active
enr_245,sec_0008,stu_0400,active
enr_246,sec_0008,stu_0710,active
enr_247,sec_0008,stu_0871,active
enr_248,sec_0008,stu_0764,active
enr_249,sec_0008,stu_1012,active
enr_250,sec_0008,stu_0561,active
enr_251,sec_0008,stu_0977,active
enr_252,sec_0008,stu_1227,active
enr_253,sec_0008,stu_1223,active
enr_254,sec_0008,stu_0893,active
enr_255,sec_0008,stu_1008,active
enr_256,sec_0008,stu_0399,active
enr_257,sec_0008,stu_0628,active
enr_258,sec_0008,stu_1104,active
enr_259,sec_0008,stu_0533,active
enr_260,sec_0008,stu_1359,active
enr_261,sec_0008,stu_0520,active
enr_262,sec_0008,stu_0139,active
enr_263,sec_0008,stu_0438,active
enr_264,sec_0008,stu_0591,active
enr_265,sec_0008,stu_0030,active
