id,institution_id,department_id,professor_id,code,title
sec_0001,inst_0001,dep_eng,prof_001,ENG 3000,Course 1
sec_0002,inst_0001,dep_eng,prof_002,ENG 3007,Course 2
sec_0003,inst_0001,dep_eng,prof_003,ENG 3014,Course 3
sec_0004,inst_0001,dep_eng,prof_004,ENG 3021,Course 4
sec_0005,inst_0001,dep_eng,prof_005,ENG 3028,Course 5
sec_0006,inst_0001,dep_eng,prof_006,ENG 3035,Course 6
sec_0007,inst_0001,dep_cs,prof_007,CS 3042,Course 7
sec_0008,inst_0001,dep_cs,prof_008,CS 3049,Course 8
sec_0009,inst_0001,dep_cs,prof_009,CS 3056,Course 9
sec_0010,inst_0001,dep_cs,prof_010,CS 3063,Course 10
sec_0011,inst_0001,dep_cs,prof_011,CS 3070,Course 11
sec_0012,inst_0001,dep_bus,prof_012,BUS 3077,Course 12
sec_0013,inst_0001,dep_bus,prof_013,BUS 3084,Course 13
sec_0014,inst_0001,dep_bus,prof_014,BUS 3091,Course 14
sec_0015,inst_0001,dep_bus,prof_015,BUS 3098,Course 15
sec_0016,inst_0001,dep_bio,prof_016,BIO 3105,Course 16
sec_0017,inst_0001,dep_bio,prof_017,BIO 3112,Course 17
sec_0018,inst_0001,dep_bio,prof_018,BIO 3119,Course 18
sec_0019,inst_0001,dep_bio,prof_019,BIO 3126,Course 19
sec_0020,inst_0001,dep_hum,prof_020,HUM 3133,Course 20
sec_0021,inst_0001,dep_hum,prof_021,HUM 3140,Course 21
sec_0022,inst_0001,dep_hum,prof_022,HUM 3147,Course 22
sec_0023,inst_0001,dep_hum,prof_023,HUM 3154,Course 23
sec_0024,inst_0001,dep_eng,prof_001,ENG 3161,Course 24
sec_0025,inst_0001,dep_eng,prof_002,ENG 3168,Course 25
sec_0026,inst_0001,dep_eng,prof_003,ENG 3175,Course 26
sec_0027,inst_0001,dep_eng,prof_004,ENG 3182,Course 27
sec_0028,inst_0001,dep_eng,prof_005,ENG 3189,Course 28
sec_0029,inst_0001,dep_eng,prof_006,ENG 3196,Course 29
sec_0030,inst_0001,dep_cs,prof_007,CS 3203,Course 30
sec_0031,inst_0001,dep_cs,prof_008,CS 3210,Course 31
sec_0032,inst_0001,dep_cs,prof_009,CS 3217,Course 32
sec_0033,inst_0001,dep_cs,prof_010,CS 3224,Course 33
sec_0034,inst_0001,dep_cs,prof_011,CS 3231,Course 34
sec_0035,inst_0001,dep_bus,prof_012,BUS 3238,Course 35
sec_0036,inst_0001,dep_bus,prof_013,BUS 3245,Course 36
sec_0037,inst_0001,dep_bus,prof_014,BUS 3252,Course 37
sec_0038,inst_0001,dep_bus,prof_015,BUS 3259,Course 38
sec_0039,inst_0001,dep_bio,prof_016,BIO 3266,Course 39
sec_0040,inst_0001,dep_bio,prof_017,BIO 3273,Course 40
